paper_id,field,old,new,reason
P01_LI_2021_CHIR6.6,wnt_inhibitor_type,IWP2,Wnt-C59,"Paper uses Wnt-C59 (PORCN inhibitor), p1 + p12 Methods; IWP2 never mentioned"
P01_LI_2021_CHIR6.6,wnt_inhibitor_days,D3-D5,D2-D4,Organoid protocol adds Wnt-C59 on day 2 for 48h (p12); D3-D5 is the monolayer-control timing
P01_LI_2021_CHIR6.6,platform_type,AggreWell_ULA96,ULA96,p12: round-bottom ultra-low attachment 96-well plates (Costar); not AggreWell brand
P01_LI_2021_CHIR6.6,beating_onset_day,6,6-10,"p1: beating as early as day 6, robust by day 10 (protocol-general, not measured per dose)"
P01_LI_2021_CHIR6.6,cm_fraction_pct,59,12,59 was optimized-composition mis-attributed to 6.6uM; Fig 1d shows 6.6uM ~12% TNNT2+
P01_LI_2021_CHIR6.6,wt1_fraction_pct,20,NR,"WT1 20% belongs to the 4uM optimized protocol (moved to CHIR4), not the 6.6uM dose"
P01_LI_2021_CHIR6.6,wt1_fraction_method,flow,NR,value removed (moved to CHIR4); method was also wrong (confocal not flow)
P01_LI_2021_CHIR6.6,cd31_fraction_pct,1.6,NR,EC 1.6% belongs to the 4uM optimized composition (moved to CHIR4)
P01_LI_2021_CHIR6.6,organoid_diameter_um,~1000,NR,~1000 is not the 6.6uM value; diameter measured on the optimized/control organoid
P01_LI_2021_CHIR8,wnt_inhibitor_type,IWP2,Wnt-C59,"Paper uses Wnt-C59 (PORCN inhibitor), p1 + p12 Methods; IWP2 never mentioned"
P01_LI_2021_CHIR8,wnt_inhibitor_days,D3-D5,D2-D4,Organoid protocol adds Wnt-C59 on day 2 for 48h (p12); D3-D5 is the monolayer-control timing
P01_LI_2021_CHIR8,platform_type,AggreWell_ULA96,ULA96,p12: round-bottom ultra-low attachment 96-well plates (Costar); not AggreWell brand
P01_LI_2021_CHIR8,beating_onset_day,6,6-10,"p1: beating as early as day 6, robust by day 10 (protocol-general, not measured per dose)"
P01_LI_2021_CHIR8,cm_fraction_pct,5,2,Fig 1d 8uM ~2% TNNT2+ (and *p=0.02 vs 6.6uM confirms 8<6.6)
P01_LI_2021_BMP4AA,wnt_inhibitor_type,IWP2,Wnt-C59,"Paper uses Wnt-C59 (PORCN inhibitor), p1 + p12 Methods; IWP2 never mentioned"
P01_LI_2021_BMP4AA,wnt_inhibitor_days,D3-D5,D2-D4,Organoid protocol adds Wnt-C59 on day 2 for 48h (p12); D3-D5 is the monolayer-control timing
P01_LI_2021_BMP4AA,platform_type,AggreWell_ULA96,ULA96,p12: round-bottom ultra-low attachment 96-well plates (Costar); not AggreWell brand
P01_LI_2021_BMP4AA,beating_onset_day,6,6-10,"p1: beating as early as day 6, robust by day 10 (protocol-general, not measured per dose)"
P01_LI_2021_BMP4AA,chir_d0_um,6.6,4,BMP4+Activin A run in conjunction with 4uM CHIR99021 (p5)
P01_LI_2021_BMP4AA,wt1_fraction_method,flow,IF_WT1_confocal,"WT1 quantified by confocal IF (Fig 5a), not flow"
P01_LI_2021_BMP4AA,chamber_area_pct,70,NR,"Fig 5d value is % chambers interconnected, not chamber area (metric mislabel)"
P02_BR_2022_CM,platform_type,AggreWell_ULA96,AggreWell_to_ULA6,p14: AggreWell800 (formation) then 6-Well ULA (culture); not a 96-well
P02_BR_2022_PE,platform_type,AggreWell_ULA96,AggreWell_to_ULA6,p14: AggreWell800 (formation) then 6-Well ULA (culture); not a 96-well
P02_BR_2022_RA_only,platform_type,AggreWell_ULA96,AggreWell_to_ULA6,p14: AggreWell800 (formation) then 6-Well ULA (culture); not a 96-well
P02_BR_2022_RA_BMP4,platform_type,AggreWell_ULA96,AggreWell_to_ULA6,p14: AggreWell800 (formation) then 6-Well ULA (culture); not a 96-well
P02_BR_2022_EMO,platform_type,AggreWell_ULA96,AggreWell_to_ULA6,p14: AggreWell800 (formation) then 6-Well ULA (culture); not a 96-well
P02_BR_2022_VEGF,platform_type,AggreWell_ULA96,AggreWell_to_ULA6,p14: AggreWell800 (formation) then 6-Well ULA (culture); not a 96-well
P02_BR_2022_PE,base_media,RPMI+B27,RPMI+B27_to_DMEM/F12,p14: PE-lineage arms switch to DMEM/F12 after D7 (only CM stays RPMI+B27)
P02_BR_2022_RA_only,base_media,RPMI+B27,RPMI+B27_to_DMEM/F12,p14: PE-lineage arms switch to DMEM/F12 after D7 (only CM stays RPMI+B27)
P02_BR_2022_RA_BMP4,base_media,RPMI+B27,RPMI+B27_to_DMEM/F12,p14: PE-lineage arms switch to DMEM/F12 after D7 (only CM stays RPMI+B27)
P02_BR_2022_EMO,base_media,RPMI+B27,RPMI+B27_to_DMEM/F12,p14: PE-lineage arms switch to DMEM/F12 after D7 (only CM stays RPMI+B27)
P02_BR_2022_VEGF,base_media,RPMI+B27,RPMI+B27_to_DMEM/F12,p14: PE-lineage arms switch to DMEM/F12 after D7 (only CM stays RPMI+B27)
P02_BR_2022_CM,cd31_fraction_pct,2.1,NR,"p1: the 2.1% is the PE-differentiation baseline, not the CM protocol (mis-assigned)"
P02_BR_2022_CM,ec_marker,CD31,NR,follows cd31 removal (no CD31 value for CM arm)
P02_BR_2022_PE,cd31_fraction_pct,NR,2.1,p1: 2.1 +/-0.1% CD31+ at D11 in PE differentiation (baseline before VEGF) - reported value was missing
P02_BR_2022_PE,ec_marker,NR,CD31,p1: CD31+ endothelial-like cells in PE organoid
P02_BR_2022_VEGF,ra,no,yes,VEGF applied to PE differentiation which includes RA 4uM D5-D7 (p14); media string also lists +RA
P02_BR_2022_VEGF,ra_dose_um,NR,4,p14: 4 uM RA (inherited PE base)
P02_BR_2022_VEGF,ra_timing_days,NR,D5-D7,p14: from D5-D7 (inherited PE base)
P02_BR_2022_VEGF,cm_fraction_pct,NR,0,INFERRED: PE base abolishes cTnT+ CMs (p1); not measured for VEGF specifically
P02_BR_2022_VEGF,wt1_fraction_pct,NR,73.7,INFERRED: VEGF acted without compromising WT1 population (p1); not measured for VEGF specifically
P03_DR_2021,disease_perturbation,NKX2.5-KO,none,"Arm is the WILD-TYPE control HFO: 37.8% CM (scRNA, Fig 4) and ~4% CD31 (Fig 2) are all from HES3 NKX2.5-eGFP; the NKX2.5-KO is a separate Fig 5 experiment (KO CM content was NOT increased vs control). p2/p5/p6"
P03_DR_2021,beating_onset_day,8,7-10,"p2: ""Initiation of HFO contraction was typically observed on d7-d10"" (a range, not a single day)"
P03_DR_2021,geo_accession,GSE150051,GSE150202,GSE150051 is the microarray (KO-vs-control); the 37.8% CM comes from scRNA-seq = GSE150202 (p12)
P04_ER_2022_3D_D50,disease_perturbation,doxorubicin,none,"83.27% CM (Fig 2B) and 12.78% CD31 are the CONTROL/untreated 3D day-50 organoid; doxorubicin is a separate 6-day drug test (Fig 8C-E), not this arm. p3"
P04_ER_2022_3D_D50,organoid_diameter_um,~900,~1000,"p1: diameter 0.9mm at DAY 21, 1mm at day 42; ~900 was the day-21 value. At d50 it is ~1mm"
P05_GH_2023,disease_perturbation,mitoxantrone,none,"p1/p5: the arm values (beat 66 bpm, ~500um, 2-3 chambers) are the UNTREATED baseline organoid. Fig5 labels 66 bpm as ""Control (66 bpm)"" vs Amiodarone/Epinephrine; p5 ""untreated organoids acquire...66 +/- 5 bpm"". Mitoxantrone is a separate Fig7 10uM drug test (arrhythmia)."
P05_GH_2023,matrigel_embedding,no,yes,"p14: cells ""mixed in 100 ul of growth factor reduced Matrigel"" and gelled in the microwell - construct forms WITHIN the ECM matrix (cells-in-gel). Per working rule = yes (cf. P03 aggregate-in-droplet=yes; P01/P02/P04 free-floating on Matrigel-coated ULA=no). Verified NOT under mechanical load (no posts/stretch; microwell = passive geometric confinement) so stays model_class=coculture_assembly, NOT EHT. Comparability unchanged (=0, defined_input_ratio)."
P05_GH_2023,seeding_density_cells_per_well,None,~74800,"p14: 4.5e6 hiPSC-CM + 2.3e6 rat CEC = 6.8e6 cells in 100ul Matrigel, 1.1ul injected per microwell => 6.8e6*(1.1/100)=74,800 cells/well (COMPOSITE: ~49,500 CM + ~25,300 CEC, not CM-only). One microwell = one organoid."
P06_HO_2021_ctrl,chamber_formation,yes,no,"Hoang 2021 makes flat 2D micropatterned concentric discs (CMs in center, stromal cells at perimeter) - NO cavity/lumen/chamber. Summary: cardiomyocytes in the center surrounded by stromal cells. The ONLY chamber mention in the paper is a citation to Ma 2015 (self-organizing microchambers), a DIFFERENT paper by the same group. RA arm already =no."
P06_HO_2021_ctrl,cm_fraction_method,area_ratio,flow,"Fig 6 (Flow cytometry quantification of cardiac differentiation efficiency): ""Both organoids of 600um and 2D differentiation produced over 50% cells positive for cTnT (Fig 6A,B)""; ""50% cTnT+ cells from flow cytometry was consistent with the area ratio (~0.5, Fig 4B)"". n=5 batches/2 lines. The 50 is a real FLOW cell fraction, NOT area% only."
P06_HO_2021_RA_toxic,disease_perturbation,none,tretinoin,"RA arm IS a teratogen perturbation (was mislabeled none). p9: ""Tretinoin (all-trans-retinoic acid, category D retinoid) treatment completely abolished the cardiac differentiation"" -> cm=0, chamber=no. (Paper also tested isotretinoin/13-cis-RA; exact 1uM dose is from Table S1 supplement, not main text.)"
P11_HF_2021_CHIR4,cell_line,"WTC (hiPSC), H9 (hESC), H7 (hESC), IMBA 176/177/178 (hiPSC); plus WTC Allen Institute reporter lines (MYL7-GFP, TNNI1-GFP, MYH10-GFP, MYL2-GFP, TTN-GFP, ATP2A2-GFP, ACTB-GFP)","WTC (hiPSC); validated in H9 (hESC), H7 (hESC), IMBA 176/177/178 (hiPSC); plus WTC Allen Institute reporter lines (MYL7-GFP, TNNI1-GFP, MYH10-GFP, MYL2-GFP, TTN-GFP, ATP2A2-GFP, ACTB-GFP)","Flat list implied all lines were used for these arms. p3300: self-assembly was ""robust in the WTC hiPSC line... the widely used hESC lines H9 and H7, as well as in three hiPSC lines"" - WTC is the working line, the rest are validation. All 7 Allen reporters + H9/H7/176-1/177-8/178-5 confirmed in the Key Resources Table, p.e3."
P11_HF_2021_CHIR4,wnt_inhibitor_dose_um,2,5,"p.e5: ""IWP2 (5mM, Tocris, #3533)"". The PDF text layer renders u as m - same layer prints CHIR ""8mM and 4 mM for WTC cells"" (p.e6) where Fig 3C prints ""8 uM CHIR99021"", so mM == uM here. This is the only IWP2 dose in the paper; the 2 most likely came from Fig 3H ""2 uM CHIR99021"" (a WNT re-activation control) or from IWR-1 (1 uM)."
P11_HF_2021_CHIR4,wnt_inhibitor_days,D3-D5,D1.5-D5.5,"Fig 1A timeline (p3300): the ""Wnt inh."" bar starts exactly at the d1.5 tick and ends exactly at the d5.5 tick. p.e5: BFIIWPRa ""for 4 days"" after the 36-40h induction (1.5+4=5.5). Same window drawn in Fig 5F and 5A' (p3307). D3-D5 was a generic monolayer-protocol default."
P11_HF_2021_CHIR4,bmp4,no,yes,"Fig 1A BMP4 bar spans d0->d7.5; p.e5 BMP4 is in FLyABCH (induction), BFIIWPRa (cardiac mesoderm) and BFI (CM specification)."
P11_HF_2021_CHIR4,bmp4_dose_ngml,None,10,"p.e5: BMP4 (10 ng/ml, R&D Systems RD-314-BP-050), same dose at every stage."
P11_HF_2021_CHIR4,activin_a,no,yes,"Fig 1A Activin A bar (d0->d1.5, mesoderm induction only); p.e5 FLyABCH contains Activin A."
P11_HF_2021_CHIR4,activin_dose_ngml,None,50,"p.e5: ""Activin A (50 ng/ml)"". Fig 5F legend (p3308) states ""high activin [50 ng/mL]"" for the intermediate-WNT+VEGF arm. NOT stated per CHIR dose in Fig 3 - 50 is the protocol default; the optimized low-activin ventricular condition uses 4 ng/ml."
P11_HF_2021_CHIR4,ra,no,yes,Fig 1A Retinoic acid bar (d1.5->d5.5); p.e5 BFIIWPRa contains retinoic acid.
P11_HF_2021_CHIR4,ra_dose_um,None,0.5,"p.e5: ""retinoic acid (0.5 mM [=0.5 uM], Sigma Aldrich, #R2625) for 4 days"". Not stated per arm; the paper's optimized ventricular condition instead uses RA50 = 0.05 uM (Fig 1F/1H), so 0.5 is the default-protocol value."
P11_HF_2021_CHIR4,ra_timing_days,None,D1.5-D5.5,"Fig 1A: the RA bar is coincident with the Wnt-inh bar (d1.5->d5.5); p.e5 ""for 4 days"" after the 36-40h induction. RA and IWP2 are both in BFIIWPRa."
P11_HF_2021_CHIR4,seeding_density_cells_per_well,5000,2500,"Fig 3A carries a printed vertical label ""Starting cells: 2500"" (Fig 3D, the BMP-inhibition panel, is labeled 7500). p.e5 layered protocol: ""2500 hPSCs were seeded directly into ultra-low-attachment 96-well plates"". 5000 is the CM-only cardioid protocol of Figs 1-2; 7500 is the KO/BMP-inhibition experiments."
P11_HF_2021_CHIR4,collection_day,15,None,No day-15 timepoint exists in the paper. Every day token: d1.5 d2.5 d3.5 d5 d5.5 d7 d7.5 d8.5 d10 d14 d21 d27. Analysis day for these arms is d7.5 (Fig 3A imaging; Fig 5F/F' FACS); the diameter is a d3.5 cardiac-mesoderm measurement (Fig 3B). Left blank because one arm spans two analysis days - set to 7.5 if the schema needs a single value.
P11_HF_2021_CHIR4,beat_rate_method,calcium_imaging,video,"p.e7: ""videos were analyzed with a published algorithm (Huebsch et al., 2015) to determine contraction velocity and beating rate""; Fig S1H legend says the same. Fluo-4 calcium imaging produced transients/ISI only (Fig S1G). NB: no beat rate is reported for THESE arms - Fig S1H (~48 bpm 3D, ~44.5 bpm 2D) is the CM-only cardioid of Fig 1, so beat_rate_bpm stays blank and this records the paper method only."
P11_HF_2021_CHIR5,cell_line,"WTC (hiPSC), H9 (hESC), H7 (hESC), IMBA 176/177/178 (hiPSC); plus WTC Allen Institute reporter lines (MYL7-GFP, TNNI1-GFP, MYH10-GFP, MYL2-GFP, TTN-GFP, ATP2A2-GFP, ACTB-GFP)","WTC (hiPSC); validated in H9 (hESC), H7 (hESC), IMBA 176/177/178 (hiPSC); plus WTC Allen Institute reporter lines (MYL7-GFP, TNNI1-GFP, MYH10-GFP, MYL2-GFP, TTN-GFP, ATP2A2-GFP, ACTB-GFP)","Flat list implied all lines were used for these arms. p3300: self-assembly was ""robust in the WTC hiPSC line... the widely used hESC lines H9 and H7, as well as in three hiPSC lines"" - WTC is the working line, the rest are validation. All 7 Allen reporters + H9/H7/176-1/177-8/178-5 confirmed in the Key Resources Table, p.e3."
P11_HF_2021_CHIR5,wnt_inhibitor_dose_um,2,5,"p.e5: ""IWP2 (5mM, Tocris, #3533)"". The PDF text layer renders u as m - same layer prints CHIR ""8mM and 4 mM for WTC cells"" (p.e6) where Fig 3C prints ""8 uM CHIR99021"", so mM == uM here. This is the only IWP2 dose in the paper; the 2 most likely came from Fig 3H ""2 uM CHIR99021"" (a WNT re-activation control) or from IWR-1 (1 uM)."
P11_HF_2021_CHIR5,wnt_inhibitor_days,D3-D5,D1.5-D5.5,"Fig 1A timeline (p3300): the ""Wnt inh."" bar starts exactly at the d1.5 tick and ends exactly at the d5.5 tick. p.e5: BFIIWPRa ""for 4 days"" after the 36-40h induction (1.5+4=5.5). Same window drawn in Fig 5F and 5A' (p3307). D3-D5 was a generic monolayer-protocol default."
P11_HF_2021_CHIR5,bmp4,no,yes,"Fig 1A BMP4 bar spans d0->d7.5; p.e5 BMP4 is in FLyABCH (induction), BFIIWPRa (cardiac mesoderm) and BFI (CM specification)."
P11_HF_2021_CHIR5,bmp4_dose_ngml,None,10,"p.e5: BMP4 (10 ng/ml, R&D Systems RD-314-BP-050), same dose at every stage."
P11_HF_2021_CHIR5,activin_a,no,yes,"Fig 1A Activin A bar (d0->d1.5, mesoderm induction only); p.e5 FLyABCH contains Activin A."
P11_HF_2021_CHIR5,activin_dose_ngml,None,50,"p.e5: ""Activin A (50 ng/ml)"". Fig 5F legend (p3308) states ""high activin [50 ng/mL]"" for the intermediate-WNT+VEGF arm. NOT stated per CHIR dose in Fig 3 - 50 is the protocol default; the optimized low-activin ventricular condition uses 4 ng/ml."
P11_HF_2021_CHIR5,ra,no,yes,Fig 1A Retinoic acid bar (d1.5->d5.5); p.e5 BFIIWPRa contains retinoic acid.
P11_HF_2021_CHIR5,ra_dose_um,None,0.5,"p.e5: ""retinoic acid (0.5 mM [=0.5 uM], Sigma Aldrich, #R2625) for 4 days"". Not stated per arm; the paper's optimized ventricular condition instead uses RA50 = 0.05 uM (Fig 1F/1H), so 0.5 is the default-protocol value."
P11_HF_2021_CHIR5,ra_timing_days,None,D1.5-D5.5,"Fig 1A: the RA bar is coincident with the Wnt-inh bar (d1.5->d5.5); p.e5 ""for 4 days"" after the 36-40h induction. RA and IWP2 are both in BFIIWPRa."
P11_HF_2021_CHIR5,seeding_density_cells_per_well,5000,2500,"Fig 3A carries a printed vertical label ""Starting cells: 2500"" (Fig 3D, the BMP-inhibition panel, is labeled 7500). p.e5 layered protocol: ""2500 hPSCs were seeded directly into ultra-low-attachment 96-well plates"". 5000 is the CM-only cardioid protocol of Figs 1-2; 7500 is the KO/BMP-inhibition experiments."
P11_HF_2021_CHIR5,collection_day,15,None,No day-15 timepoint exists in the paper. Every day token: d1.5 d2.5 d3.5 d5 d5.5 d7 d7.5 d8.5 d10 d14 d21 d27. Analysis day for these arms is d7.5 (Fig 3A imaging; Fig 5F/F' FACS); the diameter is a d3.5 cardiac-mesoderm measurement (Fig 3B). Left blank because one arm spans two analysis days - set to 7.5 if the schema needs a single value.
P11_HF_2021_CHIR5,beat_rate_method,calcium_imaging,video,"p.e7: ""videos were analyzed with a published algorithm (Huebsch et al., 2015) to determine contraction velocity and beating rate""; Fig S1H legend says the same. Fluo-4 calcium imaging produced transients/ISI only (Fig S1G). NB: no beat rate is reported for THESE arms - Fig S1H (~48 bpm 3D, ~44.5 bpm 2D) is the CM-only cardioid of Fig 1, so beat_rate_bpm stays blank and this records the paper method only."
P11_HF_2021_CHIR6,cell_line,"WTC (hiPSC), H9 (hESC), H7 (hESC), IMBA 176/177/178 (hiPSC); plus WTC Allen Institute reporter lines (MYL7-GFP, TNNI1-GFP, MYH10-GFP, MYL2-GFP, TTN-GFP, ATP2A2-GFP, ACTB-GFP)","WTC (hiPSC); validated in H9 (hESC), H7 (hESC), IMBA 176/177/178 (hiPSC); plus WTC Allen Institute reporter lines (MYL7-GFP, TNNI1-GFP, MYH10-GFP, MYL2-GFP, TTN-GFP, ATP2A2-GFP, ACTB-GFP)","Flat list implied all lines were used for these arms. p3300: self-assembly was ""robust in the WTC hiPSC line... the widely used hESC lines H9 and H7, as well as in three hiPSC lines"" - WTC is the working line, the rest are validation. All 7 Allen reporters + H9/H7/176-1/177-8/178-5 confirmed in the Key Resources Table, p.e3."
P11_HF_2021_CHIR6,wnt_inhibitor_dose_um,2,5,"p.e5: ""IWP2 (5mM, Tocris, #3533)"". The PDF text layer renders u as m - same layer prints CHIR ""8mM and 4 mM for WTC cells"" (p.e6) where Fig 3C prints ""8 uM CHIR99021"", so mM == uM here. This is the only IWP2 dose in the paper; the 2 most likely came from Fig 3H ""2 uM CHIR99021"" (a WNT re-activation control) or from IWR-1 (1 uM)."
P11_HF_2021_CHIR6,wnt_inhibitor_days,D3-D5,D1.5-D5.5,"Fig 1A timeline (p3300): the ""Wnt inh."" bar starts exactly at the d1.5 tick and ends exactly at the d5.5 tick. p.e5: BFIIWPRa ""for 4 days"" after the 36-40h induction (1.5+4=5.5). Same window drawn in Fig 5F and 5A' (p3307). D3-D5 was a generic monolayer-protocol default."
P11_HF_2021_CHIR6,bmp4,no,yes,"Fig 1A BMP4 bar spans d0->d7.5; p.e5 BMP4 is in FLyABCH (induction), BFIIWPRa (cardiac mesoderm) and BFI (CM specification)."
P11_HF_2021_CHIR6,bmp4_dose_ngml,None,10,"p.e5: BMP4 (10 ng/ml, R&D Systems RD-314-BP-050), same dose at every stage."
P11_HF_2021_CHIR6,activin_a,no,yes,"Fig 1A Activin A bar (d0->d1.5, mesoderm induction only); p.e5 FLyABCH contains Activin A."
P11_HF_2021_CHIR6,activin_dose_ngml,None,50,"p.e5: ""Activin A (50 ng/ml)"". Fig 5F legend (p3308) states ""high activin [50 ng/mL]"" for the intermediate-WNT+VEGF arm. NOT stated per CHIR dose in Fig 3 - 50 is the protocol default; the optimized low-activin ventricular condition uses 4 ng/ml."
P11_HF_2021_CHIR6,ra,no,yes,Fig 1A Retinoic acid bar (d1.5->d5.5); p.e5 BFIIWPRa contains retinoic acid.
P11_HF_2021_CHIR6,ra_dose_um,None,0.5,"p.e5: ""retinoic acid (0.5 mM [=0.5 uM], Sigma Aldrich, #R2625) for 4 days"". Not stated per arm; the paper's optimized ventricular condition instead uses RA50 = 0.05 uM (Fig 1F/1H), so 0.5 is the default-protocol value."
P11_HF_2021_CHIR6,ra_timing_days,None,D1.5-D5.5,"Fig 1A: the RA bar is coincident with the Wnt-inh bar (d1.5->d5.5); p.e5 ""for 4 days"" after the 36-40h induction. RA and IWP2 are both in BFIIWPRa."
P11_HF_2021_CHIR6,seeding_density_cells_per_well,5000,2500,"Fig 3A carries a printed vertical label ""Starting cells: 2500"" (Fig 3D, the BMP-inhibition panel, is labeled 7500). p.e5 layered protocol: ""2500 hPSCs were seeded directly into ultra-low-attachment 96-well plates"". 5000 is the CM-only cardioid protocol of Figs 1-2; 7500 is the KO/BMP-inhibition experiments."
P11_HF_2021_CHIR6,collection_day,15,None,No day-15 timepoint exists in the paper. Every day token: d1.5 d2.5 d3.5 d5 d5.5 d7 d7.5 d8.5 d10 d14 d21 d27. Analysis day for these arms is d7.5 (Fig 3A imaging; Fig 5F/F' FACS); the diameter is a d3.5 cardiac-mesoderm measurement (Fig 3B). Left blank because one arm spans two analysis days - set to 7.5 if the schema needs a single value.
P11_HF_2021_CHIR6,beat_rate_method,calcium_imaging,video,"p.e7: ""videos were analyzed with a published algorithm (Huebsch et al., 2015) to determine contraction velocity and beating rate""; Fig S1H legend says the same. Fluo-4 calcium imaging produced transients/ISI only (Fig S1G). NB: no beat rate is reported for THESE arms - Fig S1H (~48 bpm 3D, ~44.5 bpm 2D) is the CM-only cardioid of Fig 1, so beat_rate_bpm stays blank and this records the paper method only."
P11_HF_2021_CHIR9,cell_line,"WTC (hiPSC), H9 (hESC), H7 (hESC), IMBA 176/177/178 (hiPSC); plus WTC Allen Institute reporter lines (MYL7-GFP, TNNI1-GFP, MYH10-GFP, MYL2-GFP, TTN-GFP, ATP2A2-GFP, ACTB-GFP)","WTC (hiPSC); validated in H9 (hESC), H7 (hESC), IMBA 176/177/178 (hiPSC); plus WTC Allen Institute reporter lines (MYL7-GFP, TNNI1-GFP, MYH10-GFP, MYL2-GFP, TTN-GFP, ATP2A2-GFP, ACTB-GFP)","Flat list implied all lines were used for these arms. p3300: self-assembly was ""robust in the WTC hiPSC line... the widely used hESC lines H9 and H7, as well as in three hiPSC lines"" - WTC is the working line, the rest are validation. All 7 Allen reporters + H9/H7/176-1/177-8/178-5 confirmed in the Key Resources Table, p.e3."
P11_HF_2021_CHIR9,wnt_inhibitor_dose_um,2,5,"p.e5: ""IWP2 (5mM, Tocris, #3533)"". The PDF text layer renders u as m - same layer prints CHIR ""8mM and 4 mM for WTC cells"" (p.e6) where Fig 3C prints ""8 uM CHIR99021"", so mM == uM here. This is the only IWP2 dose in the paper; the 2 most likely came from Fig 3H ""2 uM CHIR99021"" (a WNT re-activation control) or from IWR-1 (1 uM)."
P11_HF_2021_CHIR9,wnt_inhibitor_days,D3-D5,D1.5-D5.5,"Fig 1A timeline (p3300): the ""Wnt inh."" bar starts exactly at the d1.5 tick and ends exactly at the d5.5 tick. p.e5: BFIIWPRa ""for 4 days"" after the 36-40h induction (1.5+4=5.5). Same window drawn in Fig 5F and 5A' (p3307). D3-D5 was a generic monolayer-protocol default."
P11_HF_2021_CHIR9,bmp4,no,yes,"Fig 1A BMP4 bar spans d0->d7.5; p.e5 BMP4 is in FLyABCH (induction), BFIIWPRa (cardiac mesoderm) and BFI (CM specification)."
P11_HF_2021_CHIR9,bmp4_dose_ngml,None,10,"p.e5: BMP4 (10 ng/ml, R&D Systems RD-314-BP-050), same dose at every stage."
P11_HF_2021_CHIR9,activin_a,no,yes,"Fig 1A Activin A bar (d0->d1.5, mesoderm induction only); p.e5 FLyABCH contains Activin A."
P11_HF_2021_CHIR9,activin_dose_ngml,None,50,"p.e5: ""Activin A (50 ng/ml)"". Fig 5F legend (p3308) states ""high activin [50 ng/mL]"" for the intermediate-WNT+VEGF arm. NOT stated per CHIR dose in Fig 3 - 50 is the protocol default; the optimized low-activin ventricular condition uses 4 ng/ml."
P11_HF_2021_CHIR9,ra,no,yes,Fig 1A Retinoic acid bar (d1.5->d5.5); p.e5 BFIIWPRa contains retinoic acid.
P11_HF_2021_CHIR9,ra_dose_um,None,0.5,"p.e5: ""retinoic acid (0.5 mM [=0.5 uM], Sigma Aldrich, #R2625) for 4 days"". Not stated per arm; the paper's optimized ventricular condition instead uses RA50 = 0.05 uM (Fig 1F/1H), so 0.5 is the default-protocol value."
P11_HF_2021_CHIR9,ra_timing_days,None,D1.5-D5.5,"Fig 1A: the RA bar is coincident with the Wnt-inh bar (d1.5->d5.5); p.e5 ""for 4 days"" after the 36-40h induction. RA and IWP2 are both in BFIIWPRa."
